name,sku,price,stock
Laptop XPS 15,P001,1200.00,50
Wireless Mouse,P002,25.99,100
USB-C Adapter,P003,15.50,200
Bluetooth Speaker,P004,89.99,30
External SSD 1TB,P005,129.99,25
Mechanical Keyboard,P006,79.99,40
Monitor 27-inch,P007,249.99,15
Wireless Earbuds,P008,59.99,60
Tablet Pro,P009,499.99,20
Laptop Sleeve,P010,19.99,80
Webcam HD,P011,69.99,35
Docking Station,P012,149.99,15
Wireless Charger,P013,29.99,100

product name,sku,product price,stock,quantity sale,date of sale
Laptop XPS 15,P001,1200.00,45,5,2023-01-01
Wireless Mouse,P002,25.99,85,15,2023-01-01
USB-C Adapter,P003,15.50,180,20,2023-01-01
Laptop XPS 15,P001,1200.00,42,3,2023-01-02
Bluetooth Speaker,P004,89.99,22,8,2023-01-02
Wireless Mouse,P002,25.99,75,10,2023-01-03
External SSD 1TB,P005,129.99,13,12,2023-01-03
Laptop XPS 15,P001,1200.00,40,2,2023-01-04
Mechanical Keyboard,P006,79.99,33,7,2023-01-04
USB-C Adapter,P003,15.50,155,25,2023-01-05
Monitor 27-inch,P007,249.99,11,4,2023-01-05
Wireless Earbuds,P008,59.99,42,18,2023-01-06
Laptop XPS 15,P001,1200.00,39,1,2023-01-06
Tablet Pro,P009,499.99,14,6,2023-01-07
Laptop Sleeve,P010,19.99,66,14,2023-01-07
External SSD 1TB,P005,129.99,4,9,2023-01-08
Webcam HD,P011,69.99,24,11,2023-01-08
Docking Station,P012,149.99,10,5,2023-01-09
Laptop XPS 15,P001,1200.00,37,2,2023-01-09
Wireless Charger,P013,29.99,78,22,2023-01-10